Url,Product Name,Size,Color,Quantity,Brand,Product Information,currency,Price,Product ID,Price Before Discount,Gender,Picture,specifications,breadcrumbs,material,labeling,availability,category name,product type
https://www.matalanme.com/ae_en/girls-stripe-rugby-top-p-c25275000001,Girls Stripe Rugby Top,1 - 1.5 Y,Red,,Matalan,"Bring sporty charm to her wardrobe with the Girls Red Stripe Rugby Top. Made from soft, durable fabric, this long-sleeve top features bold red and white stripes and a classic rugby collar, perfect for casual wear or sporty days. Comfortable and versatile, itâ€™s ideal for school, play, or layering under jackets and jumpers.Pink, red and white colourStripe patternLong sleeveCherry detailCollar",AED,59,289974,59,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/7/17423559-2355280043292835_004d1d90.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton "", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / Girls Stripe Rugby Top,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/3-pack-girls-ribbed-long-sleeve-top-p-g32588700001,3 Pack Girls Ribbed Long Sleeve Top,7 Y,Multi,,Matalan,"Refresh her everyday essentials with this 3 Pack of Girls Multicolour Ribbed Long Sleeve Tops. Made from soft, stretchy ribbed fabric, these tops offer all-day comfort and a snug fit thatâ€™s perfect for layering or wearing solo. Featuring a mix of versatile colours, theyâ€™re easy to pair with jeans, skirts, or leggings, ideal for school days, playdates, and everything in between.Red, cream and black colourRibbed Long sleeve3 Pack",AED,89,284686,89,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16493485-7225285218403850_c3c6869f.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""96% Cotton 4% Elastane"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / 3 Pack Girls Ribbed Long Sleeve Top,96% Cotton 4% Elastane,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/girls-velour-glitter-bow-top-p-g32587200001,Girls Velour Glitter Bow Top,7 Y,Black,,Matalan,"Add a touch of sparkle to her wardrobe with the Girls Black Velour Glitter Bow Top. Crafted from soft, shimmering velour fabric, this top features subtle glitter detailing and a pretty bow accent for a chic, party-ready look.Black colourBow detailVelour fabricGlitter detailLong sleeve",AED,59,284216,59,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16492736-1795282121560310_eb6b572d.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""94% Polyester 6% Elastane"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / Girls Velour Glitter Bow Top,94% Polyester 6% Elastane,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/2-pack-girls-crinkle-tops,2 Pack Girls & Crinkle Tops,7 Y,,,Matalan,"Add versatile style to her wardrobe with this 2 Pack of Girls Black & White Crinkle Tops. Crafted from soft, lightweight fabric, these tops feature a subtle crinkle texture for a stylish, contemporary look. Perfect for layering or wearing alone, the classic black and white shades make them easy to mix and match with skirts, leggings, or jeans.White and black colourCrinkle fabricShort sleeve 2 Pack",AED,75,283118,75,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/7/17319106-2095266806689235_28c42836.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / 2 Pack Girls & Crinkle Tops,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/girls-acid-wash-discoqueen-t-shirt,Girls Acid Wash Discoqueen T-Shirt,7 Y,,,Matalan,"Let her shine with the Girls Black Acid Wash Discoqueen T-Shirt. Made from soft, breathable cotton, this stylish tee features a bold Discoqueenslogan with a trendy acid wash finish for a retro-inspired look. Perfect for casual days or dressing up with a bit of sparkle, it's a fun and fashionable choice for confident young trendsetters.Black colourAcid wash look'Disco Queen' slogan graphicShort sleeve",AED,55,282164,55,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16493833-1105279758116063_ueownbyauob7side.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / Girls Acid Wash Discoqueen T-Shirt,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/girls-unicorn-top-p-g32589300001,Girls Unicorn Top,7 Y,Off White,,Matalan,"Add a touch of magic to her wardrobe with our Girls Cream Unicorn Top! Made from soft, breathable cotton, this adorable top features a charming unicorn print thatâ€™s sure to make her smile. The gentle cream colour pairs beautifully with jeans, leggings, or skirts, making it a versatile choice for any day of the week.Cream colourUnicorn graphicLong sleeve'Sparkle All Day' slogan",AED,55,282156,55,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/7/17318172-2655278523612355_9dd7f9b6.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / Girls Unicorn Top,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/girls-party-vibes-top-p-g32587500001,Girls Party Vibes Top,7 Y,Pink,,Matalan,"Get her ready to shine with our Girls Pink Party Vibes Top, the perfect pick for any little fashionista who loves a pop of sparkle! Made from soft, comfortable cotton, this vibrant pink top features a fun â€œParty Vibesâ€‌ slogan that adds a touch of attitude and cheer to her everyday style.Pink colour'Party Vibes' sloganSequin detailShort sleeve",AED,55,282082,55,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16493141-1125278520879799_73f8b60e.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / Girls Party Vibes Top,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/3-pack-girls-bow-long-sleeve-tops-p-c25269100001,3 Pack Girls Bow Long Sleeve Tops,1 - 1.5 Y,Black,,Matalan,"Upgrade her wardrobe with the 3 Pack Girls Pink Bow Long Sleeve Tops, combining soft, breathable fabric with charming bow detailing. Perfect for layering or wearing solo, these tops offer comfort and style for school, play, or casual outings.Pink, white and red colourBow patternFrill detailLong sleeve 3 Pack",AED,75,282074,75,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16439258-1215279527289742_21e01664.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / 3 Pack Girls Bow Long Sleeve Tops,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/3-pack-girls-core-long-sleeve-tops-p-c25264900001,3 Pack Girls Core Long Sleeve Tops,1 - 1.5 Y,Light Pink,,Matalan,"Keep her comfy and stylish every day with this 3 Pack of Girls Pink Core Long Sleeve Tops. Made from soft, breathable cotton, these essential tops are perfect for layering or wearing on their own, ideal for playtime, school, or relaxed weekends.Pink, black and grey colourLong sleeveTops3 Pack",AED,75,281396,75,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16673095-2935278522960743_e33038aa.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""94% Cotton 6% Elastane"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / 3 Pack Girls Core Long Sleeve Tops,94% Cotton 6% Elastane,Buy 1 Get 1 Free,IN_STOCK,Kids,
https://www.matalanme.com/ae_en/3-pack-girls-printed-long-sleeve-t-shirts-p-g32584500001,3 Pack Girls Printed Long Sleeve T-shirts,7 Y,Multi,,Matalan,"Brighten up her everyday wardrobe with this 3 Pack of Girls Printed Long Sleeve T-Shirts. Featuring a mix of fun, stylish prints, each tee is made from soft, breathable cotton for all-day comfort. Perfect for layering or wearing on their own, these versatile tops are great for school, play, or weekend outings.1x pink colour 1x cream colour 1x black colourLong sleeve T-shirts Multipack",AED,89,279136,89,Girls,https://admin.bfab.me/media/catalog/product/cache/083cf153f9c91806e1701964acf5d2a8/1/6/16387247-3805275923571476_8f23e1bd.jpg,"{""Gender"": ""Girls"", ""Brand"": ""Matalan"", ""Material"": ""100% Cotton"", ""Care Instruction"": ""Machine Washable""}",Home / Kids / Tops & T-Shirts / 3 Pack Girls Printed Long Sleeve T-shirts,100% Cotton,Buy 1 Get 1 Free,IN_STOCK,Kids,
