web-scraper-order,web-scraper-start-url,links,links-href,brand,price,color,size and fit,fabric and care,pages,pages-href
1755874417-54,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Ruched Tee,https://carbon38.com/en-in/products/short-sleeve-ruched-tee-black?_pos=244&_fid=3023b071c&_ss=c,CARBON38,"Rs. 7,200.00",Black,Fits true to size. Model is wearing a size small. Model is wearing size S.,"50% COTTON 50% MODAL

Machine wash cold with like colors, do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874444-55,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Collared Cardigan,https://carbon38.com/en-in/products/short-sleeve-collared-cardigan-navy?_pos=243&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Navy,Fits true to size. Model is wearing a size small. Model is wearing size S.,"65% VISCOSE 35% NYLON

Hand wash cold, do not bleach, lay flat to dry, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874470-56,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Collared Cardigan,https://carbon38.com/en-in/products/short-sleeve-collared-cardigan-white?_pos=242&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",White,Fits true to size. Model is wearing a size small. Model is wearing size S.,"65% VISCOSE 35% NYLON

Hand wash cold, do not bleach, lay flat to dry, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874496-57,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Puff Sleeve Tee,https://carbon38.com/en-in/products/puff-sleeve-tee-white?_pos=241&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",White,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"50% Cotton 50% Modal

Machine wash cold. Do not bleach. Tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874516-58,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,One Shoulder Convertible Tank in Melt,https://carbon38.com/en-in/products/one-shoulder-convertible-bra-top-snow-leopard?_pos=240&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",Snow Leopard,,"81% Nylon 19% Spandex.



MACHINE WASH COLD WITH OTHER LIKE COLORS. DO NOT BLEACH. HANG TO DRY. DO NOT IRON. DO NOT DRY CLEAN.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874528-59,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Ruched Tee,https://carbon38.com/en-in/products/short-sleeve-ruched-tee-white?_pos=239&_fid=3023b071c&_ss=c,CARBON38,"Rs. 7,200.00",White,Fits true to size. Model is wearing a size small. Model is wearing size S.,"50% Cotton 50% Modal

MACHINE WASH COLD W/ LIKE COLORS 

DO NOT BLEACH

TUMBLE DRY LOW",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874554-60,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Cross Over Sweater,https://carbon38.com/en-in/products/cross-over-sweater-winter-white?_pos=238&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,900.00",Winter White,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"64% Viscose 27% Polyester 8% Nylon 1% Spandex



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874582-61,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pullover Sweatshirt,https://carbon38.com/en-in/products/pullover-sweatshirt-navy-blazer?_pos=237&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Navy Blazer,Fits true to size. Model is wearing size small. Model is wearing size S.,"95% Modal 5% Spandex



Machine wash cold with like colors, gentle cycle, do not bleach, tumble dry low, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874608-62,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Tie Top in Melt,https://carbon38.com/en-in/products/long-sleeve-ballet-wrap-red-dahlia?_pos=236&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Red Dahlia,,"81% Nylon 19% Spandex



Machine wash color with like colors, gentle cycle. Do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874635-63,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Chambray Denim Shirt,https://carbon38.com/en-in/products/chambray-slim-shirt-with-pearl-snaps-chambray?_pos=235&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Medium Wash,"Fits true to size. Model is wearing a size small. STRETCH CHAMBRAY FABRIC. PEARL SNAP CLOSURE, WESTERN DETAILS, FRONT POCKETS, SHIRTTAIL HEM Model is wearing size S.","78% Tencel 10%Cotton 9%Polyester 3%Spandex

MACHINE WASH COLD W/ LIKE COLORS

DO NOT BLEACH, LAY FLAT TO DRY, DRY CLEANABLE",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874655-64,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Pocket Tee,https://carbon38.com/en-in/products/short-sleeve-pocket-tee-quiet-harbor?_pos=234&_fid=3023b071c&_ss=c,CARBON38,"Rs. 5,400.00",Quiet Harbor,,50% Cotton 50% Modal. MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874667-65,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,One Shoulder Convertible Tank in Heather Melt,https://carbon38.com/en-in/products/one-shoulder-tank-quiet-harbor?_pos=233&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",Quiet Harbor,,"87% POLYESTER 13% SPANDEX

MACHINE WASH COLD WITH LIKE COLORS. NO BLEACH. HANG DRY. DO NOT IRON. DO NOT DRY CLEAN",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874694-66,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Strappy Tank in Melt,https://carbon38.com/en-in/products/strappy-tank-charlock?_pos=232&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",Charlock,,"81% Nylon 19% Spandex



Machine wash cold with like colors, gentle cycle, do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874721-67,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Colorblock High Neck Tank,https://carbon38.com/en-in/products/colorblock-high-neck-tank-cornet-blue-charlock?_pos=231&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,900.00",Coronet Blue  / Charlock,,"81% Nylon 19% Spandex



Machine wash cold with like colors, gentle cycle, do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874747-68,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Tie Top in Melt,https://carbon38.com/en-in/products/long-sleeve-ballet-wrap-charlock?_pos=230&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Charlock,,"81% Nylon 19% Spandex



Machine wash color with like colors, gentle cycle. Do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874774-69,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Slouchy Knit Sweater,https://carbon38.com/en-in/products/oversized-off-shoulder-sweater-off-white?_pos=229&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,900.00",Off White,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"100% COTTON

Machine wash cold with like colors, do not bleach, lay flat to dry, cool iron, dry clean recommended.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874795-70,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,High Neck Laser Cut Tank in Diamond Compression,https://carbon38.com/en-in/products/high-neck-laser-cut-tank-black?_pos=228&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Black,Fits true to size. Model is wearing a size small. Shelf Bra included.  Model is wearing size S.,"72% NYLON 28% SPANDEX

MACHINE WASH COLD WITH LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW. DO NOT IRON. DRY CLEANABLE.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874807-71,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Striped Puff Sleeve Sweater,https://carbon38.com/en-in/products/stripe-puff-sleeve-sweater-cream-black?_pos=227&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,500.00",Cream/ Black,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"25% Wool 30% Acrylic 45% Nylon



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874833-72,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Crochet Off Shoulder Sweater,https://carbon38.com/en-in/products/crochet-off-shoulder-sweatshirt-black?_pos=226&_fid=3023b071c&_ss=c,CARBON38,"Rs. 24,500.00",Black,Fits true to size. Model is wearing size small. Model is wearing size S.,"65% Cotton 35% Nylon



Hand wash cold, do not bleach, do not tumble dry, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874859-73,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Fringe Tank in Melt,https://carbon38.com/en-in/products/fringe-tank-black?_pos=225&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Black,Model is wearing size S.,"81% Nylon 19% Spandex 

Machine wash cold with like colors on delicate cycle. Do not bleach. Reshape and lay flat to dry, do not tumble dry, do not iron, do not dry clean.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874885-74,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Striped Puff Sleeve Sweater,https://carbon38.com/en-in/products/stripe-puff-sleeve-sweater-stone-black?_pos=224&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,500.00",Stone/ Black,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"25% Wool 30% Acrylic 45% Nylon



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874911-75,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Tuxedo Mock Neck Top,https://carbon38.com/en-in/products/tuxedo-mock-neck-top-black?_pos=223&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",Black,,"81% Nylon 19% Spandex

MACHINE WASH COLD W/ LIKE COLORS. NO BLEACH. HANG TO DRY. DO NOT IRON. DO NOT DRY CLEAN.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874938-76,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Slouchy Off Shoulder Sweater,https://carbon38.com/en-in/products/slouchy-knit-sweater-black?_pos=222&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,600.00",Black,Fits true to size. Model is wearing size small. Model is wearing size S.,"60% Cotton 30% Nylon 10% Wool



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874946-77,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Pocket Tee,https://carbon38.com/en-in/products/short-sleeve-pocket-tee-merlot?_pos=221&_fid=3023b071c&_ss=c,CARBON38,"Rs. 6,400.00",Merlot,,50% Cotton 50% Modal. MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874973-78,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Cross Over Sweater,https://carbon38.com/en-in/products/cross-over-sweater-burnt-sienna?_pos=220&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,900.00",Burnt Sienna,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"64% Viscose 27% Polyester 8% Nylon 1% Spandex



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755874999-79,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Tie Top in Melt,https://carbon38.com/en-in/products/long-sleeve-ballet-wrap-burnt-sienna-1?_pos=219&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,700.00",Burnt Sienna,,"81% Nylon 19% Spandex



Machine wash color with like colors, gentle cycle. Do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875026-80,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Silver Mesh Long Sleeve Top,https://carbon38.com/en-in/products/mesh-long-sleeve-top?_pos=218&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",Grey Mesh,Fits true to size. Model is wearing a size small. Model is wearing size S.,"80% Polyester 20% Spandex



Turn garment inside out, machine wash cold with like colors on delicate cycle or hand wash. Do not bleach, hang to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875052-81,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pearl Necklace Sweater Tank,https://carbon38.com/en-in/products/pearl-necklace-tank-lavender-grey?_pos=217&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Lavender Grey,Fits true to size. Model is wearing a size small. Model is wearing size S.,"73% VISCOSE, 15% POLYESTER, 11% NYLON, 1% SPANDEX



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875079-82,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Zip Long Sleeve Run Top,https://carbon38.com/en-in/products/zip-long-sleeve-run-top?_pos=216&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Silver Heather,,"Machine wash cold with like colors/ do not bleach / hang dry / do not iron / do not dry clean.



87% POLYESTER 13% SPANDEX",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875105-83,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pullover Sweatshirt,https://carbon38.com/en-in/products/pullover-sweatshirt-heather-grey?_pos=215&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Heather Grey,Fits true to size. Model is wearing size small. Model is wearing size S.,"95% Modal 5% Spandex



Machine wash cold with like colors, gentle cycle, do not bleach, tumble dry low, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875114-84,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Perfect Active Tee,https://carbon38.com/en-in/products/perfect-active-tee-dede-ski-print?_pos=214&_fid=3023b071c&_ss=c,PERFECT MOMENT,"Rs. 24,100.00",Dede Ski Print,Body length is 56cm / 22” and sleeve length is 63cm / 25” for a size Small Model is wearing size S.,"78% polyester, 22% elastane

Hand wash cold separately

Do not bleach

Lay flat to dry

Cool iron if needed or dry clean",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875141-85,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Wrap Top in Melt,https://carbon38.com/en-in/products/long-sleeve-wrap-top-white?_pos=213&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",White,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875167-86,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Cap Sleeve Top,https://carbon38.com/en-in/products/cap-sleeve-top-white?_pos=212&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",White,Fits true to size. Model is wearing a size small.  Model is wearing size S.,"50% Cotton 50% Modal

Machine wash cold with like colors. Do not bleach. Tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875194-87,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Asymmetrical Sweater Top,https://carbon38.com/en-in/products/asymmetrical-sweater-top-ivory?_pos=211&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Ivory,Model is wearing size S.,"57% VISCOSE, 26% NYLON, 14% POLYESTER, 3% SPANDEX



Machine wash cold with like colors, do not bleach, lay flat to dry/ tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875221-88,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Slouchy Off Shoulder Sweater,https://carbon38.com/en-in/products/wool-blend-slouchy-knit-sweater-off-white?_pos=210&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,600.00",Off White,Fits true to size. Model is wearing size small. Model is wearing size S.,"60% Cotton 30% Nylon 10% Wool



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875247-89,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Half Zip Boucle Pullover,https://carbon38.com/en-in/products/half-zip-boucle-pullover-off-white-1?_pos=209&_fid=3023b071c&_ss=c,CARBON38,"Rs. 9,600.00",Off  White,,"80% Acrylic 11% Nylon 8% Wool 1% Spandex



Machine wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875273-90,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Short Sleeve Pocket Tee,https://carbon38.com/en-in/products/short-sleeve-pocket-tee-olive?_pos=208&_fid=3023b071c&_ss=c,CARBON38,"Rs. 6,400.00",Olive,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875300-91,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Off Shoulder Sweatshirt in French Terry,https://carbon38.com/en-in/products/off-shoulder-sweatshirt-6-olive?_pos=207&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Olive,,"50% Cotton 50% Modal

Machine wash cold with like colors

Do not bleach

Tumble dry low

Do not iron",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
